"ruuviMac","ruuviMovement","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","accelerationX","accelerationY","accelerationZ","measurementSequenceNumber","temperature","humidity","pressure","host","location"
"ed:e3:d2:a0:99:aa ","217","1","2599","-54","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.23 +03:00","-440","-924","-136","14317","34,85","38,54","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","35","0","2437","-65","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.21 +03:00","716","-712","-164","14416","32,83","39,33","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","240","0","2521","-72","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.20 +03:00","976","272","-200","14580","35,4","38,5","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","20","12","2521","-68","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.18 +03:00","556","-788","-412","14132","34,4","39,65","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2425","-78","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.16 +03:00","0","904","-412","4426","36","38,22","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","122","2","2887","-66","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.15 +03:00","404","-580","660","13609","37,12","37,41","1024","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","10","0","2461","-58","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.13 +03:00","1048","76","-184","13885","35,02","40,3","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","187","13","3211","-51","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.10 +03:00","688","-768","-224","17548","35,17","39,48","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2425","-71","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.08 +03:00","4","896","-420","4421","36","38,23","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","120","19","2887","-63","d8:a0:1d:65:7e:18 ","24.6.2020 13.25.07 +03:00","408","-588","720","13605","37,11","37,4","1024","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
