id,time,count,name
460,2020-06-24 10:14:19.07977+00,0,Aktiiviset
461,2020-06-24 10:15:12.692349+00,1,Aktiiviset
467,2020-06-24 10:16:11.186143+00,10,Alueella
468,2020-06-24 10:16:11.369902+00,11,Alueella
469,2020-06-24 10:16:17.710662+00,0,Aktiiviset
470,2020-06-24 10:16:41.261607+00,1,Aktiiviset
471,2020-06-24 10:16:59.018296+00,2,Aktiiviset
472,2020-06-24 10:17:15.997211+00,3,Aktiiviset
473,2020-06-24 10:17:27.713518+00,10,Alueella
474,2020-06-24 10:17:33.136553+00,2,Aktiiviset
475,2020-06-24 10:18:17.777609+00,1,Aktiiviset
476,2020-06-24 10:18:26.683382+00,9,Alueella
477,2020-06-24 10:19:25.059154+00,0,Aktiiviset
478,2020-06-24 10:19:40.046543+00,10,Alueella
479,2020-06-24 10:20:10.242251+00,1,Aktiiviset
480,2020-06-24 10:20:18.455906+00,9,Alueella
481,2020-06-24 10:20:21.749543+00,2,Aktiiviset
482,2020-06-24 10:20:36.800754+00,3,Aktiiviset
483,2020-06-24 10:20:48.331791+00,4,Aktiiviset
484,2020-06-24 10:21:09.004544+00,10,Alueella
485,2020-06-24 10:21:09.491668+00,11,Alueella
486,2020-06-24 10:21:10.059804+00,12,Alueella
487,2020-06-24 10:21:16.006404+00,3,Aktiiviset
488,2020-06-24 10:21:17.359221+00,2,Aktiiviset
489,2020-06-24 10:21:24.624454+00,1,Aktiiviset
490,2020-06-24 10:21:26.653945+00,2,Aktiiviset
491,2020-06-24 10:21:44.636509+00,13,Alueella
492,2020-06-24 10:21:50.853221+00,1,Aktiiviset
493,2020-06-24 10:22:20.900531+00,2,Aktiiviset
494,2020-06-24 10:22:37.415107+00,3,Aktiiviset
495,2020-06-24 10:22:37.440626+00,3,Aktiiviset
496,2020-06-24 10:22:37.903636+00,4,Aktiiviset
497,2020-06-24 10:22:38.579267+00,3,Aktiiviset
498,2020-06-24 10:22:40.155596+00,14,Alueella
499,2020-06-24 10:22:49.546931+00,2,Aktiiviset
500,2020-06-24 10:23:06.909513+00,1,Aktiiviset
